phi_soil,phi_free,p0,ce
0.872628,0.093267,0.538574,0.461426
0.671735,0.102016,0.537598,0.462402
0.747160,0.100143,0.540527,0.459473
0.628893,0.093683,0.553223,0.446777
0.876994,0.098811,0.560059,0.439941
0.669755,0.104310,0.540039,0.459961
0.755397,0.093455,0.558594,0.441406
0.750620,0.091694,0.551270,0.448730
0.932007,0.103353,0.583008,0.416992
0.696518,0.094655,0.514160,0.485840
0.762773,0.106970,0.548340,0.451660
0.741676,0.093300,0.551270,0.448730
0.597490,0.097104,0.545410,0.454590
0.691018,0.109396,0.539551,0.460449
0.604258,0.109781,0.542480,0.457520
0.752062,0.103723,0.543457,0.456543
0.614419,0.106784,0.543457,0.456543
0.710943,0.104197,0.534668,0.465332
0.769980,0.102623,0.535156,0.464844
0.874848,0.095844,0.554199,0.445801
0.562816,0.101513,0.517578,0.482422
0.582005,0.097560,0.538574,0.461426
0.867922,0.104605,0.574219,0.425781
0.562812,0.096922,0.516602,0.483398
0.587684,0.104595,0.555664,0.444336
0.551632,0.097874,0.544434,0.455566
0.821896,0.106221,0.539062,0.460938
0.679833,0.093190,0.544434,0.455566
0.749159,0.108586,0.556641,0.443359
0.930506,0.091565,0.573242,0.426758
0.604755,0.093145,0.553711,0.446289
0.945696,0.105694,0.568848,0.431152
0.826767,0.101465,0.547852,0.452148
0.559201,0.107815,0.524414,0.475586
0.783679,0.109859,0.551270,0.448730
0.677156,0.100004,0.540527,0.459473
0.874310,0.104679,0.560547,0.439453
0.515704,0.109637,0.542480,0.457520
0.558444,0.098094,0.513672,0.486328
0.857821,0.108151,0.554688,0.445312
0.762403,0.094669,0.557617,0.442383
0.570353,0.101442,0.531250,0.468750
0.772931,0.108928,0.568848,0.431152
0.619292,0.099694,0.535645,0.464355
0.781672,0.093065,0.570801,0.429199
0.730191,0.096662,0.545898,0.454102
0.818683,0.099159,0.548828,0.451172
0.592922,0.099525,0.552246,0.447754
0.928960,0.091008,0.546387,0.453613
0.928478,0.093448,0.575684,0.424316
0.518942,0.108265,0.530762,0.469238
0.692608,0.095141,0.546387,0.453613
0.767574,0.106194,0.574707,0.425293
0.690651,0.092335,0.538086,0.461914
0.805794,0.106823,0.566895,0.433105
0.596159,0.092161,0.538086,0.461914
0.557374,0.100104,0.530762,0.469238
0.574310,0.099453,0.514648,0.485352
0.818588,0.098927,0.539062,0.460938
0.903665,0.094102,0.570312,0.429688
0.572305,0.096279,0.519531,0.480469
0.809991,0.094652,0.560059,0.439941
0.697942,0.098995,0.540527,0.459473
0.684912,0.101815,0.560059,0.439941
0.750217,0.093920,0.565918,0.434082
0.508749,0.099408,0.499512,0.500488
0.877264,0.094527,0.537598,0.462402
0.837892,0.092006,0.563477,0.436523
0.853373,0.103527,0.553711,0.446289
0.831465,0.097301,0.552734,0.447266
0.587491,0.099868,0.526855,0.473145
0.709810,0.093104,0.548828,0.451172
0.599058,0.099083,0.536621,0.463379
0.790391,0.109886,0.553711,0.446289
0.599427,0.100475,0.533691,0.466309
0.613697,0.095722,0.541992,0.458008
0.517742,0.102643,0.538574,0.461426
0.872198,0.104558,0.553711,0.446289
0.514347,0.091235,0.520508,0.479492
0.693718,0.105274,0.535156,0.464844
0.527145,0.090600,0.518555,0.481445
0.898623,0.103495,0.557617,0.442383
0.926463,0.095483,0.575684,0.424316
0.913451,0.107972,0.552734,0.447266
0.511547,0.091820,0.519043,0.480957
0.547662,0.093819,0.548828,0.451172
0.773180,0.106189,0.556152,0.443848
0.518279,0.090884,0.506348,0.493652
0.704252,0.096870,0.546387,0.453613
0.826180,0.095984,0.562500,0.437500
0.722869,0.109312,0.556641,0.443359
