phi_soil,phi_free,p0,ce
0.872628,0.093267,0.674805,0.325195
0.671735,0.102016,0.652832,0.347168
0.747160,0.100143,0.665527,0.334473
0.628893,0.093683,0.663574,0.336426
0.876994,0.098811,0.675781,0.324219
0.669755,0.104310,0.657227,0.342773
0.755397,0.093455,0.681641,0.318359
0.750620,0.091694,0.673828,0.326172
0.932007,0.103353,0.673828,0.326172
0.696518,0.094655,0.666992,0.333008
0.762773,0.106970,0.673340,0.326660
0.741676,0.093300,0.670410,0.329590
0.597490,0.097104,0.654297,0.345703
0.691018,0.109396,0.668945,0.331055
0.604258,0.109781,0.667969,0.332031
0.752062,0.103723,0.667480,0.332520
0.614419,0.106784,0.660156,0.339844
0.710943,0.104197,0.665039,0.334961
0.769980,0.102623,0.658203,0.341797
0.874848,0.095844,0.705078,0.294922
0.562816,0.101513,0.645508,0.354492
0.582005,0.097560,0.650879,0.349121
0.867922,0.104605,0.682129,0.317871
0.562812,0.096922,0.670898,0.329102
0.587684,0.104595,0.646484,0.353516
0.551632,0.097874,0.636719,0.363281
0.821896,0.106221,0.668945,0.331055
0.679833,0.093190,0.666992,0.333008
0.749159,0.108586,0.692871,0.307129
0.930506,0.091565,0.701172,0.298828
0.604755,0.093145,0.657227,0.342773
0.945696,0.105694,0.699219,0.300781
0.826767,0.101465,0.688477,0.311523
0.559201,0.107815,0.644043,0.355957
0.783679,0.109859,0.666992,0.333008
0.677156,0.100004,0.669434,0.330566
0.874310,0.104679,0.704590,0.295410
0.515704,0.109637,0.656250,0.343750
0.558444,0.098094,0.626953,0.373047
0.857821,0.108151,0.674316,0.325684
0.762403,0.094669,0.679199,0.320801
0.570353,0.101442,0.652344,0.347656
0.772931,0.108928,0.667969,0.332031
0.619292,0.099694,0.661621,0.338379
0.781672,0.093065,0.690918,0.309082
0.730191,0.096662,0.661133,0.338867
0.818683,0.099159,0.688477,0.311523
0.592922,0.099525,0.638184,0.361816
0.928960,0.091008,0.693359,0.306641
0.928478,0.093448,0.679688,0.320312
0.518942,0.108265,0.644043,0.355957
0.692608,0.095141,0.658203,0.341797
0.767574,0.106194,0.680664,0.319336
0.690651,0.092335,0.671875,0.328125
0.805794,0.106823,0.657715,0.342285
0.596159,0.092161,0.660156,0.339844
0.557374,0.100104,0.649902,0.350098
0.574310,0.099453,0.651855,0.348145
0.818588,0.098927,0.690918,0.309082
0.903665,0.094102,0.688965,0.311035
0.572305,0.096279,0.648438,0.351562
0.809991,0.094652,0.683594,0.316406
0.697942,0.098995,0.678223,0.321777
0.684912,0.101815,0.668945,0.331055
0.750217,0.093920,0.676270,0.323730
0.508749,0.099408,0.648926,0.351074
0.877264,0.094527,0.681641,0.318359
0.837892,0.092006,0.674805,0.325195
0.853373,0.103527,0.688965,0.311035
0.831465,0.097301,0.680176,0.319824
0.587491,0.099868,0.636230,0.363770
0.709810,0.093104,0.667480,0.332520
0.599058,0.099083,0.643066,0.356934
0.790391,0.109886,0.674316,0.325684
0.599427,0.100475,0.659668,0.340332
0.613697,0.095722,0.668457,0.331543
0.517742,0.102643,0.668945,0.331055
0.872198,0.104558,0.680176,0.319824
0.514347,0.091235,0.618652,0.381348
0.693718,0.105274,0.667480,0.332520
0.527145,0.090600,0.641602,0.358398
0.898623,0.103495,0.658691,0.341309
0.926463,0.095483,0.686035,0.313965
0.913451,0.107972,0.694824,0.305176
0.511547,0.091820,0.647949,0.352051
0.547662,0.093819,0.646973,0.353027
0.773180,0.106189,0.689453,0.310547
0.518279,0.090884,0.658203,0.341797
0.704252,0.096870,0.666992,0.333008
0.826180,0.095984,0.702637,0.297363
0.722869,0.109312,0.668457,0.331543
