
—— fold 1/5 —————————————————————
[eval 01870]  loss = -0.352960
[eval 01880]  loss = -5.537347
[eval 01890]  loss = -4.336835
[eval 01900]  loss = -6.228135
[eval 01910]  loss = -2.572059
[eval 01920]  loss = 6.166067
[eval 01930]  loss = -6.226172
[eval 01940]  loss = -1.167047
[eval 01950]  loss = -5.831994
[eval 01960]  loss = -6.197026
[eval 01970]  loss = 2.487764
[eval 01980]  loss = -5.548226
[eval 01990]  loss = -2.399619
[eval 02000]  loss = -6.189782
[eval 02010]  loss = 1.737502
[eval 02020]  loss = -5.999163
[eval 02030]  loss = -5.076251
[eval 02040]  loss = 2.855174
[eval 02050]  loss = -5.442941
[eval 02060]  loss = -3.704595
[eval 02070]  loss = 2.344783
[eval 02080]  loss = -1.086482
[eval 02090]  loss = -6.188601
[eval 02100]  loss = -4.187064
[eval 02110]  loss = 0.936152
[eval 02120]  loss = -5.250209
[eval 02130]  loss = -3.211200
[eval 02140]  loss = -5.696322
[eval 02150]  loss = -4.009116
[eval 02160]  loss = 1.171643
[eval 02170]  loss = -4.143788
[eval 02180]  loss = -6.281369
[eval 02190]  loss = 4.018548
[eval 02200]  loss = -4.885576
[eval 02210]  loss = -5.200155
[eval 02220]  loss = -3.874991
[eval 02230]  loss = -4.424021
[eval 02240]  loss = 2.911636
[eval 02250]  loss = 2.334209
[eval 02260]  loss = -1.336883
[eval 02270]  loss = -6.286551
[eval 02280]  loss = 4.231234
[eval 02290]  loss = 5.080364
[eval 02300]  loss = -6.292783
[eval 02310]  loss = -0.538355
[eval 02320]  loss = -1.190987
[eval 02330]  loss = -1.874520
[eval 02340]  loss = 2.107928
[eval 02350]  loss = -2.466557
[eval 02360]  loss = -6.322443
[eval 02370]  loss = -3.969640
[eval 02380]  loss = -3.677147
[eval 02390]  loss = -6.046553
[eval 02400]  loss = 0.097858
[eval 02410]  loss = -2.839368
[eval 02420]  loss = -0.004729
[eval 02430]  loss = 1.519174
[eval 02440]  loss = -6.328175
[eval 02450]  loss = 4.467783
[eval 02460]  loss = -6.348921
[eval 02470]  loss = 0.703462
[eval 02480]  loss = -4.928327
[eval 02490]  loss = -5.536677
[eval 02500]  loss = 0.536975
[eval 02510]  loss = -5.326172
[eval 02520]  loss = 1.328998
[eval 02530]  loss = 2.005281
[eval 02540]  loss = -4.467000
[eval 02550]  loss = -6.185637
[eval 02560]  loss = 5.076742
[eval 02570]  loss = -3.019165
[eval 02580]  loss = -5.212780
[eval 02590]  loss = 2.917913
[eval 02600]  loss = -3.538043
[eval 02610]  loss = 0.303206
[eval 02620]  loss = -3.698225
[eval 02630]  loss = -0.897435
[eval 02640]  loss = -6.250637
[eval 02650]  loss = 0.087223
[eval 02660]  loss = 0.343511
[eval 02670]  loss = -5.766886
[eval 02680]  loss = 1.530143
[eval 02690]  loss = -2.756832
[eval 02700]  loss = 0.747591
[eval 02710]  loss = -4.095517
[eval 02720]  loss = 4.843351
[eval 02730]  loss = -6.266665
[eval 02740]  loss = -1.468444
[eval 02750]  loss = 6.358653
[eval 02760]  loss = -5.433856
[eval 02770]  loss = 3.176789
[eval 02780]  loss = -3.560369
[eval 02790]  loss = -2.706477
[eval 02800]  loss = 1.381848
[eval 02810]  loss = 1.019750
[eval 02820]  loss = -6.251947
[eval 02830]  loss = -1.648674
[eval 02840]  loss = -4.927824
[eval 02850]  loss = -5.758992
[eval 02860]  loss = 3.231736
[eval 02870]  loss = -1.253825
[eval 02880]  loss = -2.386300
[eval 02890]  loss = 0.212446
[eval 02900]  loss = -1.520230
[eval 02910]  loss = -6.216895
[eval 02920]  loss = 1.342793
[eval 02930]  loss = 6.141712
[eval 02940]  loss = -5.482538
[eval 02950]  loss = -6.239019
[eval 02960]  loss = 0.227046
[eval 02970]  loss = -5.124475
[eval 02980]  loss = 5.324299
[eval 02990]  loss = -6.408690
[eval 03000]  loss = -6.372467
[eval 03010]  loss = -4.284514
[eval 03020]  loss = -6.362909
[eval 03030]  loss = 0.657822
[eval 03040]  loss = 0.025646
[eval 03050]  loss = -6.276295
[eval 03060]  loss = 2.512140
[eval 03070]  loss = -6.058569
[eval 03080]  loss = 1.287326
[eval 03090]  loss = -4.314099
[eval 03100]  loss = 3.378652
[eval 03110]  loss = -6.324040
[eval 03120]  loss = 0.684989
[eval 03130]  loss = -5.815468
[eval 03140]  loss = -6.290673
[eval 03150]  loss = -3.386606
[eval 03160]  loss = -6.058816
[eval 03170]  loss = 5.370484
[eval 03180]  loss = 1.666939
[eval 03190]  loss = 0.139341
[eval 03200]  loss = -6.389562
[eval 03210]  loss = 1.891891
[eval 03220]  loss = -6.311034
[eval 03230]  loss = -6.146166
[eval 03240]  loss = 2.445226
[eval 03250]  loss = -4.037619
[eval 03260]  loss = 4.047774
[eval 03270]  loss = -6.340800
[eval 03280]  loss = 4.029283
[eval 03290]  loss = -6.344011
[eval 03300]  loss = -1.508285
[eval 03310]  loss = -2.497416
[eval 03320]  loss = -6.161418
[eval 03330]  loss = -0.292072
[eval 03340]  loss = -1.521577
[eval 03350]  loss = 1.499369
[eval 03360]  loss = -1.518802
[eval 03370]  loss = 3.805885
[eval 03380]  loss = -6.373194
[eval 03390]  loss = 0.076053
[eval 03400]  loss = 0.125324
[eval 03410]  loss = -6.002338
[eval 03420]  loss = -6.479457
[eval 03430]  loss = 0.769777
[eval 03440]  loss = -3.121512
[eval 03450]  loss = -3.715468
[eval 03460]  loss = -6.241405
[eval 03470]  loss = -1.164829
[eval 03480]  loss = -6.302641
[eval 03490]  loss = -0.988422
[eval 03500]  loss = -1.995327
[eval 03510]  loss = -4.955675
[eval 03520]  loss = 2.695289
[eval 03530]  loss = -5.889687
[eval 03540]  loss = 2.682034
[eval 03550]  loss = -3.626301
[eval 03560]  loss = -2.286925
[eval 03570]  loss = -6.281586
[eval 03580]  loss = 0.464542
[eval 03590]  loss = 4.360352
[eval 03600]  loss = -5.329366
[eval 03610]  loss = -3.657719
[eval 03620]  loss = -6.056663
[eval 03630]  loss = -1.002349
[eval 03640]  loss = -0.108137
[eval 03650]  loss = -0.507399
[eval 03660]  loss = -6.526873
[eval 03670]  loss = -6.424673
[eval 03680]  loss = 0.663992
[eval 03690]  loss = -4.531428
[eval 03700]  loss = -4.837750
[eval 03710]  loss = -3.716053
[eval 03720]  loss = -6.139929
[eval 03730]  loss = 2.485401
[eval 03740]  loss = 1.523494
[eval 03750]  loss = -2.250359
[eval 03760]  loss = -6.246549
[eval 03770]  loss = 4.059926
[eval 03780]  loss = -5.469242
[eval 03790]  loss = -5.190645
[eval 03800]  loss = 4.926633
[eval 03810]  loss = -2.536322
[eval 03820]  loss = -3.711593
[eval 03830]  loss = 2.463985
[eval 03840]  loss = -5.843543
[eval 03850]  loss = -6.359560
[eval 03860]  loss = 0.431976
[eval 03870]  loss = 3.014494
[eval 03880]  loss = -4.953417
[eval 03890]  loss = 2.531125
[eval 03900]  loss = -1.300038
[eval 03910]  loss = -3.409197
[eval 03920]  loss = -4.733737
[eval 03930]  loss = 3.277922
[eval 03940]  loss = -6.316827
[eval 03950]  loss = -1.743158
[eval 03960]  loss = -3.828795
[eval 03970]  loss = -5.894656
[eval 03980]  loss = -1.413766
[eval 03990]  loss = -1.177819
[eval 04000]  loss = 2.135649
[eval 04010]  loss = -4.225974
[eval 04020]  loss = -0.363442
[eval 04030]  loss = -6.465011
[eval 04040]  loss = 0.427118
[eval 04050]  loss = 5.767136
[eval 04060]  loss = -6.191133
[eval 04070]  loss = 4.472765
[eval 04080]  loss = -5.375901
[eval 04090]  loss = -1.982602
[eval 04100]  loss = -3.839413
[eval 04110]  loss = -0.743706
[eval 04120]  loss = -6.380956
[eval 04130]  loss = 3.412842
[eval 04140]  loss = 4.284128
[eval 04150]  loss = -5.802685
[eval 04160]  loss = -2.008382
[eval 04170]  loss = -6.220435
[eval 04180]  loss = 1.883260
[eval 04190]  loss = 2.311870
[eval 04200]  loss = 2.692239
[eval 04210]  loss = -6.242014
[eval 04220]  loss = -1.597473
[eval 04230]  loss = 5.601403
[eval 04240]  loss = -5.369596
[eval 04250]  loss = -4.343010
[eval 04260]  loss = -4.860847
[eval 04270]  loss = -0.446873
[eval 04280]  loss = -5.144568
[eval 04290]  loss = 0.410287
[eval 04300]  loss = -6.317597
[eval 04310]  loss = 1.255789
[eval 04320]  loss = -6.448523
[eval 04330]  loss = -6.005526
[eval 04340]  loss = -1.016713
[eval 04350]  loss = -5.385660
[eval 04360]  loss = 1.790404
[eval 04370]  loss = -0.168878
[eval 04380]  loss = 1.933766
[eval 04390]  loss = -6.406825
[eval 04400]  loss = -1.823399
[eval 04410]  loss = -0.575138
[eval 04420]  loss = -5.943128
[eval 04430]  loss = -1.252541
[eval 04440]  loss = -5.285418
[eval 04450]  loss = 5.160389
[eval 04460]  loss = 0.763977
[eval 04470]  loss = 3.560296
[eval 04480]  loss = -6.352615
[eval 04490]  loss = 3.116168
