phi_soil,phi_free,p0,ce
0.872628,0.093267,0.254883,0.745117
0.671735,0.102016,0.364746,0.635254
0.747160,0.100143,0.291016,0.708984
0.628893,0.093683,0.375000,0.625000
0.876994,0.098811,0.358887,0.641113
0.669755,0.104310,0.296875,0.703125
0.755397,0.093455,0.354492,0.645508
0.750620,0.091694,0.245117,0.754883
0.932007,0.103353,0.366699,0.633301
0.696518,0.094655,0.261230,0.738770
0.762773,0.106970,0.353516,0.646484
0.741676,0.093300,0.404785,0.595215
0.597490,0.097104,0.265625,0.734375
0.691018,0.109396,0.378418,0.621582
0.604258,0.109781,0.270508,0.729492
0.752062,0.103723,0.340820,0.659180
0.614419,0.106784,0.386719,0.613281
0.710943,0.104197,0.413574,0.586426
0.769980,0.102623,0.390625,0.609375
0.874848,0.095844,0.376465,0.623535
0.562816,0.101513,0.260254,0.739746
0.582005,0.097560,0.254395,0.745605
0.867922,0.104605,0.303223,0.696777
0.562812,0.096922,0.308594,0.691406
0.587684,0.104595,0.330078,0.669922
0.551632,0.097874,0.265625,0.734375
0.821896,0.106221,0.349121,0.650879
0.679833,0.093190,0.418945,0.581055
0.749159,0.108586,0.275391,0.724609
0.930506,0.091565,0.339844,0.660156
0.604755,0.093145,0.414062,0.585938
0.945696,0.105694,0.300781,0.699219
0.826767,0.101465,0.446777,0.553223
0.559201,0.107815,0.354492,0.645508
0.783679,0.109859,0.307129,0.692871
0.677156,0.100004,0.309570,0.690430
0.874310,0.104679,0.350586,0.649414
0.515704,0.109637,0.233887,0.766113
0.558444,0.098094,0.335449,0.664551
0.857821,0.108151,0.376465,0.623535
0.762403,0.094669,0.379883,0.620117
0.570353,0.101442,0.325195,0.674805
0.772931,0.108928,0.373047,0.626953
0.619292,0.099694,0.288574,0.711426
0.781672,0.093065,0.401855,0.598145
0.730191,0.096662,0.278809,0.721191
0.818683,0.099159,0.293457,0.706543
0.592922,0.099525,0.329590,0.670410
0.928960,0.091008,0.370117,0.629883
0.928478,0.093448,0.284180,0.715820
0.518942,0.108265,0.338867,0.661133
0.692608,0.095141,0.357910,0.642090
0.767574,0.106194,0.374512,0.625488
0.690651,0.092335,0.363281,0.636719
0.805794,0.106823,0.370605,0.629395
0.596159,0.092161,0.354980,0.645020
0.557374,0.100104,0.370117,0.629883
0.574310,0.099453,0.239258,0.760742
0.818588,0.098927,0.366699,0.633301
0.903665,0.094102,0.229980,0.770020
0.572305,0.096279,0.334961,0.665039
0.809991,0.094652,0.270020,0.729980
0.697942,0.098995,0.343750,0.656250
0.684912,0.101815,0.375977,0.624023
0.750217,0.093920,0.363770,0.636230
0.508749,0.099408,0.362305,0.637695
0.877264,0.094527,0.367188,0.632812
0.837892,0.092006,0.376465,0.623535
0.853373,0.103527,0.245117,0.754883
0.831465,0.097301,0.376953,0.623047
0.587491,0.099868,0.373535,0.626465
0.709810,0.093104,0.333496,0.666504
0.599058,0.099083,0.356934,0.643066
0.790391,0.109886,0.368164,0.631836
0.599427,0.100475,0.362305,0.637695
0.613697,0.095722,0.372559,0.627441
0.517742,0.102643,0.350098,0.649902
0.872198,0.104558,0.364258,0.635742
0.514347,0.091235,0.286621,0.713379
0.693718,0.105274,0.370605,0.629395
0.527145,0.090600,0.273926,0.726074
0.898623,0.103495,0.345215,0.654785
0.926463,0.095483,0.241211,0.758789
0.913451,0.107972,0.384766,0.615234
0.511547,0.091820,0.373047,0.626953
0.547662,0.093819,0.377930,0.622070
0.773180,0.106189,0.356445,0.643555
0.518279,0.090884,0.344238,0.655762
0.704252,0.096870,0.403809,0.596191
0.826180,0.095984,0.355469,0.644531
0.722869,0.109312,0.366699,0.633301
